159	205	81	76	0	1	
168	218	37	36	0	1	
111	216	3	89	0	1	
238	216	9	8	0	1	
78	101	214	226	0	0	
82	191	188	161	0	0	
207	228	2	65	0	1	
91	2	189	49	0	0	
69	135	101	207	0	0	
138	148	15	11	0	1	
93	177	129	111	0	0	
127	195	14	69	0	1	
68	6	128	127	1	0	
221	203	2	90	0	1	
40	44	144	148	1	0	
16	44	138	201	1	0	
210	160	39	58	0	1	
81	62	118	196	1	0	
18	45	173	106	1	0	
254	250	3	57	0	1	
173	233	25	17	0	1	
149	219	51	20	0	1	
248	218	14	197	0	0	
220	250	40	70	0	1	
205	219	63	14	0	1	
43	43	213	137	1	0	
183	190	49	16	0	1	
68	47	243	156	1	0	
169	165	80	75	0	1	
223	218	91	35	0	1	
188	162	223	130	0	0	
92	71	218	112	1	0	
199	104	64	16	0	1	
7	46	162	134	1	0	
14	82	255	217	1	0	
249	63	67	26	0	0	
155	192	88	39	0	1	
190	242	216	111	0	0	
58	33	146	245	1	0	
32	97	150	29	0	0	
112	167	49	29	0	1	
120	253	26	61	0	1	
27	185	242	197	0	0	
249	216	17	93	0	1	
93	36	199	161	1	0	
227	248	99	15	0	1	
156	148	49	16	0	1	
120	151	47	49	0	1	
168	25	86	24	0	0	
48	40	153	195	1	0	
95	21	239	158	1	0	
52	109	179	252	0	0	
150	113	83	45	0	1	
95	38	250	123	1	0	
217	223	153	126	0	0	
23	50	122	228	1	0	
103	126	242	198	0	0	
60	13	166	139	1	0	
190	77	68	74	0	0	
187	199	2	88	0	1	
89	125	20	213	0	0	
59	43	145	153	1	0	
155	179	206	199	0	0	
75	176	65	71	0	0	
214	149	90	28	0	1	
85	24	114	187	1	0	
64	244	123	181	0	0	
242	196	37	203	0	0	
73	20	109	254	1	0	
117	114	112	79	0	0	
11	82	209	214	1	0	
228	146	95	18	0	1	
247	186	100	72	0	1	
248	176	165	211	0	0	
83	82	202	113	1	0	
1	61	135	225	1	0	
245	223	94	64	0	1	
27	214	231	151	0	0	
41	57	161	248	1	0	
33	55	40	96	0	0	
156	203	93	208	0	0	
8	55	237	227	1	0	
44	19	223	150	1	0	
17	46	195	250	1	0	
39	56	245	159	1	0	
137	111	61	45	0	1	
142	102	190	232	0	0	
23	27	216	122	1	0	
164	186	94	0	0	1	
50	45	186	133	1	0	
123	204	72	59	0	1	
228	176	57	53	0	1	
93	86	252	141	1	0	
7	108	118	146	0	0	
208	136	81	30	0	1	
128	112	95	17	0	1	
178	132	71	106	0	0	
105	187	91	62	0	1	
148	115	6	9	0	1	
208	63	38	53	0	0	
164	203	50	3	0	1	
70	33	225	111	1	0	
220	240	5	77	0	1	
232	142	15	173	0	0	
220	120	79	217	0	0	
21	69	207	154	1	0	
168	236	85	67	0	1	
63	50	181	200	1	0	
124	175	4	82	0	1	
124	153	87	9	0	1	
254	169	60	78	0	1	
155	204	56	17	0	1	
1	52	209	188	1	0	
214	115	43	50	0	1	
211	231	1	88	0	1	
36	172	216	211	0	0	
160	223	21	148	0	0	
27	88	201	134	1	0	
116	219	12	61	0	1	
214	215	5	147	0	0	
189	158	79	15	0	1	
3	52	255	238	1	0	
250	122	67	3	0	1	
28	62	238	138	1	0	
190	192	10	53	0	1	
101	135	220	157	0	0	
178	148	5	88	0	1	
8	59	227	57	0	0	
59	119	227	101	0	0	
48	37	195	249	1	0	
214	230	221	165	0	0	
28	120	110	204	0	0	
120	238	81	40	0	1	
90	24	17	72	0	0	
197	160	22	47	0	1	
66	54	188	114	1	0	
85	78	186	66	0	0	
121	233	232	122	0	0	
152	43	64	77	0	0	
239	230	117	126	0	0	
78	1	251	133	1	0	
195	78	247	121	0	0	
120	70	84	9	0	0	
21	42	253	176	1	0	
181	229	39	6	0	1	
73	199	205	88	0	0	
4	79	196	12	0	0	
216	143	94	64	0	1	
61	20	197	251	1	0	
84	10	160	199	1	0	
35	65	146	153	1	0	
115	222	72	127	0	0	
248	24	117	197	0	0	
227	244	40	37	0	1	
254	150	21	86	0	1	
40	80	109	196	1	0	
47	208	238	160	0	0	
36	98	120	246	1	0	
70	96	7	3	0	0	
98	34	195	228	1	0	
6	28	201	170	1	0	
240	190	74	70	0	1	
210	102	41	252	0	0	
146	131	31	53	0	1	
151	119	254	192	0	0	
0	50	103	166	1	0	
99	61	146	148	1	0	
143	178	5	91	0	1	
19	79	195	157	1	0	
193	142	132	219	0	0	
196	172	73	10	0	1	
146	84	60	70	0	0	
196	188	212	121	0	0	
